 filename cell_type xmin xmax ymin ymax
0 0.jpg RBC 235 349 23 127
1 0.jpg RBC 388 488 147 243
2 0.jpg RBC 482 598 218 338
3 0.jpg RBC 359 475 259 379
4 0.jpg RBC 34 148 172 243
5 0.jpg RBC 283 374 365 450
6 0.jpg RBC 291 382 299 384
7 0.jpg RBC 29 120 394 479
8 0.jpg RBC 531 622 339 424
9 0.jpg WBC 1 94 224 351
10 0.jpg Platelets 15 55 107 145
11 0.jpg Platelets 359 393 120 157
12 0.jpg Platelets 322 356 110 147
13 0.jpg Platelets 382 423 89 128
14 1.jpg RBC 64 174 264 351
15 1.jpg RBC 387 496 92 212
16 1.jpg RBC 522 631 208 328
17 1.jpg RBC 1 92 42 162
18 1.jpg RBC 76 193 67 183
19 1.jpg RBC 57 174 138 254
20 1.jpg RBC 1 104 346 454
21 1.jpg RBC 309 419 1 87
22 1.jpg Platelets 19 70 226 272
23 1.jpg Platelets 182 232 213 253
24 1.jpg Platelets 31 73 1 28
25 1.jpg WBC 225 531 217 480
26 2.jpg RBC 177 278 48 147
27 2.jpg RBC 65 166 355 454
28 2.jpg RBC 564 640 395 480
29 2.jpg RBC 472 582 315 423
30 2.jpg RBC 156 279 380 480
31 2.jpg RBC 296 394 50 148
32 2.jpg RBC 456 569 21 116
33 2.jpg RBC 55 174 1 99
34 2.jpg RBC 61 138 295 363
35 2.jpg WBC 161 399 181 404
36 3.jpg RBC 158 244 156 254
37 3.jpg RBC 98 184 156 254
38 3.jpg RBC 146 243 350 447
39 3.jpg RBC 324 421 383 480
40 3.jpg RBC 257 340 224 338
41 3.jpg RBC 513 612 266 378
42 3.jpg RBC 578 640 86 196
43 3.jpg WBC 318 540 187 379
44 3.jpg RBC 137 242 69 164
45 3.jpg RBC 238 343 54 149
46 3.jpg RBC 299 413 22 118
47 4.jpg RBC 421 538 185 289
48 4.jpg RBC 149 266 207 311
49 4.jpg RBC 86 169 143 231
50 4.jpg RBC 98 209 17 137
51 4.jpg RBC 1 107 1 109
52 4.jpg RBC 10 125 250 362
53 4.jpg RBC 1 115 367 480
54 4.jpg RBC 129 227 324 423
55 4.jpg RBC 290 407 211 315
56 4.jpg RBC 485 602 1 104
57 4.jpg RBC 368 482 1 79
58 4.jpg RBC 436 538 332 436
59 4.jpg RBC 567 640 299 404
60 4.jpg RBC 265 390 102 220
61 4.jpg WBC 218 443 303 480
62 4.jpg Platelets 186 245 85 141
63 4.jpg Platelets 206 258 1 54
64 4.jpg Platelets 1 27 342 380
65 5.jpg RBC 480 587 301 409
66 5.jpg RBC 204 311 82 190
67 5.jpg RBC 33 140 79 187
68 5.jpg RBC 102 233 9 140
69 5.jpg RBC 402 514 212 308
70 5.jpg RBC 9 115 359 449
71 5.jpg RBC 1 102 299 410
72 5.jpg RBC 424 526 35 122
73 5.jpg WBC 176 408 260 479
74 6.jpg RBC 239 331 6 103
75 6.jpg RBC 487 620 20 137
76 6.jpg RBC 418 524 171 282
77 6.jpg RBC 487 598 253 363
78 6.jpg RBC 274 384 382 480
