,prev_file,filename,cell_type,xmin,xmax,ymin,ymax
3070,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00082.jpg,225.jpg,WBC,257,380,335,456
4535,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00293.jpg,337.jpg,RBC,417,536,373,480
4839,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00405.jpg,360.jpg,RBC,479,583,105,202
1348,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00247.jpg,96.jpg,RBC,214,327,333,438
4151,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00204.jpg,310.jpg,RBC,567,640,193,294
939,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00095.jpg,65.jpg,RBC,476,564,1,66
3722,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00114.jpg,275.jpg,RBC,512,609,167,265
89,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00262.jpg,7.jpg,RBC,448,553,394,480
4370,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00043.jpg,326.jpg,Platelets,61,95,441,480
3539,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00032.jpg,262.jpg,RBC,50,160,1,92
885,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00348.jpg,62.jpg,RBC,93,204,413,480
1804,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00275.jpg,128.jpg,RBC,289,401,353,452
3402,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00242.jpg,252.jpg,Platelets,245,286,121,158
1157,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00099.jpg,81.jpg,RBC,52,147,330,424
4627,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00190.jpg,344.jpg,RBC,373,484,237,344
756,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00014.jpg,54.jpg,RBC,215,334,380,480
144,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00277.jpg,11.jpg,RBC,225,313,404,480
1726,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00003.jpg,123.jpg,RBC,365,484,350,451
3504,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00216.jpg,260.jpg,RBC,554,640,297,401
143,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00277.jpg,11.jpg,RBC,558,640,216,340
540,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00333.jpg,41.jpg,RBC,10,125,329,453
1878,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00207.jpg,134.jpg,RBC,348,461,47,155
399,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00053.jpg,31.jpg,RBC,559,640,1,87
2643,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00067.jpg,190.jpg,RBC,81,176,232,353
978,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00369.jpg,69.jpg,RBC,128,224,307,421
993,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00369.jpg,69.jpg,Platelets,349,394,396,449
1035,./BCCD_Dataset/BCCD/JPEGImages/BloodImage_00140.jpg,73.jpg,RBC,405,550,329,423
